MatrixSize,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,Sparsity,AvgCommunication,AvgInterProcessCall
1048576,     0.452,     0.452,     0.452,100,128,2,16384,0,0,4216134
1048576,     0.330,     0.331,     0.330,100,128,1,8192,0,0,4215704
1048576,     0.601,     0.601,     0.601,100,128,3,24576,0,0,4215704
1048576,     0.707,     0.714,     0.708,100,128,4,32768,0,0,4215704
1048576,     0.817,     0.818,     0.817,100,128,5,40960,0,0,4215704
1048576,     0.946,     0.947,     0.947,100,128,6,49152,0,0,4215704
1048576,     1.073,     1.074,     1.073,100,128,7,57344,0,0,4215704
1048576,     1.375,     1.376,     1.376,100,128,8,65536,0,0,4215704
1048576,     1.479,     1.480,     1.480,100,128,9,73728,0,0,4215704
1048576,     2.053,     2.054,     2.053,100,128,10,81920,0,0,4215704
1048576,     1.721,     1.722,     1.722,100,128,11,90112,0,0,4215704
1048576,     1.849,     1.850,     1.850,100,128,12,98304,0,0,4215704
1048576,     2.017,     2.017,     2.017,100,128,13,106496,0,0,4215704
1048576,     2.093,     2.094,     2.093,100,128,14,114688,0,0,4215704
1048576,     2.205,     2.205,     2.205,100,128,15,122880,0,0,4215704
1048576,     2.376,     2.376,     2.376,100,128,16,131072,0,0,4215704
1048576,     4.223,     4.223,     4.223,100,128,32,262144,0,0,4215704
1048576,     7.959,     7.960,     7.959,100,128,64,524288,0,0,4215704
1048576,    15.475,    15.476,    15.475,100,128,128,1048576,0,0,4215704
1048576,    32.811,    32.811,    32.811,100,128,256,2097152,0,0,4215704
1048576,    63.006,    63.006,    63.006,100,128,512,4194304,0,0,4215704
1048576,   123.056,   123.057,   123.057,100,128,1024,8388608,0,0,4215704
1048576,   243.244,   243.245,   243.244,100,128,2048,16777216,0,0,4215704
1048576,   487.263,   487.264,   487.264,100,128,4096,33554432,0,0,4215704
