Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
nlpkkt160_625,8345600,13754,1.595760,2.337953,1.758258,100,625,27.000000,371358,307614,31722,6683630,1335
nlpkkt240_625,27993600,46135,5.410419,6.430982,5.853169,100,625,27.000000,1245645,1096854,68088,20551852,2922
G3_circuit_625,1585478,2612,0.059745,0.098802,0.068171,100,625,3.000000,10245,8952,344,953295,2474
cage15_625,5154859,8495,0.551783,1.460405,0.812492,100,625,37.000000,317619,82504,8322,4867778,8483
kkt_power_625,2063494,3400,0.122812,0.188561,0.145052,100,625,7.000000,25681,18042,2754,1779772,2737
ecology1_625,1000000,1630,0.040388,0.050288,0.043019,100,625,4.000000,6520,6252,180,958356,147
uk,18520486,30523,1.100098,19.077798,4.829591,100,625,129.000000,3891964,672082,13766,18516109,30511
asia_625,11950757,19695,0.316009,0.665497,0.434435,100,625,2.000000,53219,47310,55,11200132,19610
NLR_625,4163763,6862,0.224393,0.439361,0.355707,100,625,6.000000,41170,38270,679,3049589,6852
coPapersDBLP_625,540486,890,0.094183,0.940144,0.195965,100,625,263.000000,234145,33580,5179,539857,890
coPapersCiteseer_625,434102,715,0.059320,2.361889,0.212013,100,625,854.000000,610764,35060,6647,432814,715
copter2_625,55476,91,0.004623,0.008785,0.006392,100,625,14.000000,1286,782,312,38437,91
333SP_625,3712815,6118,0.195711,0.389027,0.272000,100,625,6.000000,36707,35070,434,3551191,6087
af_shell10_625,1508065,2485,0.395609,0.523973,0.425491,100,625,34.000000,84490,78990,4650,1395808,440
M6_625,3501776,5771,0.190490,0.347596,0.298747,100,625,6.000000,34631,32848,247,2022005,5751
AS365_625,3799275,6261,0.288272,0.373356,0.326410,100,625,6.000000,37563,35408,120,1683390,6261
europe_625,50912018,83141,1.742091,3.915949,2.715833,100,625,2.000000,222871,172976,77,45206045,82459
nlpkkt200_625,16240000,26764,3.099213,4.178206,3.402420,100,625,27.000000,722628,605810,35383,16092726,2090
thermal2_625,1227087,2022,0.092465,0.114162,0.097346,100,625,6.000000,12132,11370,245,588759,2022
