MatrixSize,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock
262144,     0.109,     0.119,     0.110,1000,16,2,32768
262144,     0.155,     0.180,     0.170,1000,16,4,65536
262144,     0.644,     0.647,     0.646,1000,16,16,262144
262144,     1.288,     1.316,     1.306,1000,16,32,524288
262144,     2.825,     2.846,     2.836,1000,16,64,1048576
262144,     5.647,     5.668,     5.661,1000,16,128,2097152
262144,    11.667,    11.699,    11.686,1000,16,256,4194304
262144,    24.200,    24.221,    24.210,1000,16,512,8388608
262144,     0.075,     0.091,     0.083,1000,32,4,32768
262144,     0.098,     0.212,     0.163,1000,32,2,16384
262144,     0.248,     0.264,     0.256,1000,32,16,131072
262144,     0.549,     0.558,     0.557,1000,32,32,262144
262144,     2.661,     2.681,     2.670,1000,32,128,1048576
262144,     8.094,     8.112,     8.104,1000,32,256,2097152
262144,    11.568,    11.587,    11.576,1000,32,512,4194304
262144,     1.265,     1.300,     1.283,1000,32,64,524288
262144,     0.106,     0.663,     0.339,1000,64,2,8192
262144,     0.103,     0.411,     0.308,1000,64,4,16384
262144,     0.680,     0.871,     0.796,1000,64,16,65536
262144,     1.625,     1.835,     1.755,1000,64,32,131072
262144,     4.479,     4.732,     4.655,1000,64,64,262144
262144,     7.306,     7.579,     7.494,1000,64,128,524288
262144,    13.010,    13.931,    13.443,1000,64,256,1048576
4194304,     4.769,     5.164,     4.939,1000,64,2,131072
4194304,     3.240,     3.423,     3.341,1000,64,4,262144
262144,    37.735,    38.431,    38.066,1000,64,512,2097152
262144,     0.068,     1.532,     0.901,1000,128,2,4096
262144,     0.090,     0.844,     0.472,1000,128,4,8192
262144,     0.528,     1.681,     1.191,1000,128,16,32768
262144,     0.949,     1.924,     1.585,1000,128,32,65536
262144,     2.274,     3.345,     2.900,1000,128,64,131072
262144,     4.873,     5.611,     5.325,1000,128,128,262144
262144,    10.129,    11.400,    10.831,1000,128,256,524288
262144,    21.245,    22.419,    22.079,1000,128,512,1048576
4194304,    15.839,    49.970,    41.248,1000,128,2,65536
8388608,     3.830,     4.237,     4.060,1000,128,2,131072
8388608,     5.119,     5.849,     5.533,1000,128,4,262144
