GraphName,MatrixSize,AvgTime,TotalRun,Threads,NonZeroPerRow,NonZeroElements,AffinityType,ReserveNodes
ecology1_original,1000000,6.137969,1,8,     3.996,3996000,balanced,1
ecology1_original,1000000,7.360481,50,1,     3.996,3996000,balanced,1
copter2_original,55476,0.764727,50,1,    12.699,704476,balanced,1
G3_circuit_original,1585478,14.461035,50,1,     3.832,6075348,balanced,1
kkt_power_original,2063494,25.667273,50,1,     6.283,12964640,balanced,1
thermal2_original,1227087,15.214884,50,1,     5.992,7352268,balanced,1
coPapersCiteseer_original,434102,57.245580,50,1,    73.885,32073440,balanced,1
coPapersDBLP_original,540486,65.893707,50,1,    56.415,30491458,balanced,1
asia_original,11950757,123.635267,50,1,     2.127,25423206,balanced,1
af_shell10_original,1508065,68.751495,50,1,    33.927,51164260,balanced,1
333SP_original,3712815,117.182802,50,1,     5.984,22217266,balanced,1
M6_original,3501776,162.392804,50,1,     5.998,21003872,balanced,1
NLR_original,4163763,169.409890,50,1,     5.998,24975952,balanced,1
AS365_original,3799275,169.547603,50,1,     5.984,22736152,balanced,1
cage15_original,5154859,158.931325,50,1,    18.244,94044692,balanced,1
nlpkkt160_original,8345600,293.116873,50,1,    26.502,221172512,balanced,36
nlpkkt240_original,27993600,974.426625,50,1,    26.666,746478752,balanced,36
cage15_original,5154859,143.557586,50,1,    18.244,94044692,balanced,36
G3_circuit_original,1585478,11.485776,50,1,     3.832,6075348,balanced,36
kkt_power_original,2063494,22.412214,50,1,     6.283,12964640,balanced,36
ecology1_original,1000000,6.188761,50,1,     3.996,3996000,balanced,36
uk,18520486,860.723864,50,1,    28.270,523574516,balanced,36
asia_original,11950757,111.723552,50,1,     2.127,25423206,balanced,36
NLR_original,4163763,166.784490,50,1,     5.998,24975952,balanced,36
coPapersDBLP_original,540486,54.257824,50,1,    56.415,30491458,balanced,36
coPapersCiteseer_original,434102,50.221099,50,1,    73.885,32073440,balanced,36
copter2_original,55476,0.758147,50,1,    12.699,704476,balanced,36
333SP_original,3712815,86.062427,50,1,     5.984,22217266,balanced,36
af_shell10_original,1508065,66.229584,50,1,    33.927,51164260,balanced,36
AS365_original,3799275,146.472463,50,1,     5.984,22736152,balanced,36
europe_original,50912018,642.185596,50,1,     2.123,108109320,balanced,36
M6_original,3501776,131.759806,50,1,     5.998,21003872,balanced,36
nlpkkt200_original,16240000,572.011018,50,1,    26.600,431985632,balanced,36
thermal2_original,1227087,14.019201,50,1,     5.992,7352268,balanced,36
